VARIABLE;UNIDAD;ACTIVO;RAMA;LUGAR;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Inversión bruta;Miles de euros constantes base 2020;0. Total;3. Construcción;España;7238397,975;7991912,292;8420908,197;8835639,996;9980848,355;14833356,91;10842866,09;9963898,823;14308315,76;18640651,84;16496313,42;12960605,16;12771893,76;10059711,67;7209817,524;5695144,815;7828204,337;6352199,73;6415303,901;6002258,65;2910009,77;4966988,17;3345703,63;7762632,634;12371584,55;15577550,9;12922221,34;11890709,31;12830404,91;10872117,35;11713585,71;13321537,01;14751333,64;15434073,76;16978677,63;19017871,31;19157173,15;18545122,94;19697646,16;21741357,05;25100907,67;31080121,78;36131888,23;39481570,95;31632274,28;10292746,6;8834855,985;8417071,604;4720355,201;6590420,885;11297467,92;8813526,709;16366415,63;14542130,47;12963166,29;15628993,59;10289000;6820341,008;9943550,711;10808960,79;11719853,49;12953721,87
Inversión bruta;Miles de euros constantes base 2020;0. Total;4. Comercio, transporte y hostelería;España;3661175,019;4135886,398;4827085,45;5159031,499;5694189,499;5822278,282;7295119,413;6638287,469;8760972,533;9165983,818;10285750,11;10798532,64;10074467,22;10653984,39;10609954,87;10540648,02;10019161,09;9734790,841;10785428,38;10900369,51;8504755,984;9584066,487;11372235,14;12343640,53;15645786,05;17454564,01;17451813,4;18516807,23;20443677,2;16709291,37;18724295,76;20421512,45;21394596,99;23267343,83;26306616,09;29391326,99;35930778,83;39171704,11;39265766,57;41347840,16;40367780,52;40984769,57;40492219,39;44009228,6;43933126,1;31311558,22;36601345,52;36701276,91;36893228,3;34136523,37;33111156;39204417,89;36462685,25;41538730,26;40719413,06;40040431,71;31330000;34446308,05;33056971,75;34249830,36;36064920,78;37695625,42
Inversión bruta;Miles de euros constantes base 2020;0. Total;4.1. Comercio y reparación;España;843276,203;916860,2519;1091995,209;1058458,653;1102558,519;1148058,408;1661497,882;1661746,553;1965479,22;2005312,721;2220685,785;2190882,836;2204043;2363623,09;3006137,537;3422592,369;3088471,278;2979206,212;3057184,416;3234561,091;3587505,731;3558929,916;4804315,939;4919752,107;5729720,649;6070800,297;6074416,959;6665680,2;7778518,28;6853913,427;7644592,843;8310206,18;8500706,299;9065152,365;10212670,08;11013467,57;11729909,74;13479504,41;14045638,04;14469778;17039977,39;15683388,51;15918072,24;17727626,29;16608218,27;10780612,57;13920559,42;14934869,9;17148805,39;17927487,68;16417944,13;15599944,84;15598923,19;19140938,95;17873657,63;17531102,17;15420400;19437367,13;17224006,08;16842561,25;17584271,89;18293377,81
Inversión bruta;Miles de euros constantes base 2020;0. Total;4.2. Transporte;España;2260994,543;2743429,179;3111169,11;3539856,013;3909239,173;4047195,956;4404352,158;4054091,733;5512725,481;6008620,175;6778190,514;7616753,55;7072856,553;7534897,439;6853115,116;6233065,173;5991050,459;5876194,618;6533956,705;6813224,547;4288483,161;4557881,061;5132500,605;6092906,487;7313280,874;8034793,096;9136630,669;9544609,285;9623117,912;7443436,291;7790133,058;9258771,764;9870807,29;10906622,52;12388845,23;14379224,12;19430601,76;19602988,67;19356714,44;21083321,62;17676186,76;20413111,34;19936047,76;21925624,18;23835135,06;18306148,57;20038008,01;19310778,03;16536770,77;13014510,38;13573635,16;20099112,69;16641398,99;17766294,27;17993525,31;17529352,44;12360800;11553885,7;12066153,34;12894143,71;13635787,71;14453446,92
Inversión bruta;Miles de euros constantes base 2020;0. Total;4.3. Hostelería;España;556904,273;475596,9673;623921,1314;560716,8336;682391,8071;627023,9172;1229269,372;922449,1836;1282767,832;1152050,923;1286873,811;990896,2497;797567,6711;755463,8602;750702,2165;884990,476;939639,353;879390,01;1194287,256;852583,869;628767,092;1467255,511;1435418,599;1330981,94;2602784,525;3348970,621;2240765,767;2306517,749;3042041,007;2411941,651;3289569,859;2852534,51;3023083,399;3295568,949;3705100,778;3998635,298;4770267,33;6089211,024;5863414,092;5794740,541;5651616,379;4888269,715;4638099,395;4355978,139;3489772,771;2224797,078;2642778,097;2455628,975;3207652,138;3194525,313;3119576,707;3505360,353;4222363,065;4631497,041;4852230,119;4979977,101;3548800;3455055,231;3766812,341;4513125,4;4844861,182;4948800,701
Inversión bruta;Miles de euros constantes base 2020;0. Total;5. Información y comunicaciones;España;579725,578;802536,3209;759128,4507;776979,0327;798971,2599;972776,3819;1237441,009;1532591,269;1650582,749;1682950,095;2035050,179;2142414,19;1717117,495;1840816,334;2362064,639;2338039,924;2165059,138;2382146,233;2700695,877;2130836,336;1944686,449;2336792,461;3005076,187;3591717,165;4479145,128;5917566,258;6136851,527;6037055,197;5853038,93;4872714,047;5452413,731;6629344,647;7559068,11;8143446,109;9136615,877;10163461,69;10452743,84;10063336,37;9924248,659;9856553,704;9751128,511;10039639,35;9883884,972;10391084,86;10154854,37;8352221,066;10453511,51;11085199,27;11749103,3;9442005,824;9936420,803;16109667,33;15437443,87;12920232,47;11846085,94;12926584,37;13672600;11860860;12328705,59;17328246,88;18431248,64;19022800,06
Inversión bruta;Miles de euros constantes base 2020;0. Total;5.1. Edición, actividades audiovisuales y de radiodifusión;España;97226,51255;135272,7946;168457,7871;139767,9566;153523,9295;159170,1973;227659,4985;227525,3668;317582,35;292134,1721;374153,6964;337468,8655;360477,975;352989,2508;441117,0627;409437,3371;401547,3242;409415,3223;465860,1973;480912,2854;526242,4244;517646,5908;721860,6782;1059611,85;1107227,285;1175399,782;1099307,073;1372238,241;1598673,979;1354384,331;1391567,914;1685239,685;1696504,841;2092821,669;2155502,817;2390959,741;1942680,688;1977984,636;1959398,498;1899120,901;1908784,819;2137238,752;2382649,303;2530838,419;2299637,792;1996139,425;2896730,393;2855137,606;2545155,133;2088470,382;2208769,227;2672501,448;2292430,48;1965127,303;1826715,248;2092554,586;1925100,421;1356635,43;1557810,462;1699738,756;2070363,92;2001735,055
Inversión bruta;Miles de euros constantes base 2020;0. Total;5.2. Telecomunicaciones;España;457966,6532;633310,3733;554835,5102;599084,9107;599525,0708;767167,4845;953420,5424;1243430,493;1270528,836;1327739,647;1598482,823;1745190,76;1298730,23;1435022,162;1864776,609;1863938,638;1695606,557;1897913,701;2141640,669;1552171,367;1310101,677;1698439,249;2117421,133;2360391,729;3054860,45;4360051,117;4647412,626;4174821,659;3604566,344;2758482,876;3077695,319;3779640,591;4460069,417;4421901,307;5330325,024;6193037,243;7559392,783;6968300,709;6725638,644;6624734,596;6430014,845;6670187,511;6313192,371;6219193,33;6280277,018;4824353,961;5717669,172;6490124,222;6412341,175;5139396,91;5426114,187;10511269,17;10499429,63;8298073,454;7666509,293;8081081,454;7783343,256;7283678,291;6630650,563;7265689,064;9530151,037;8911680,017
Inversión bruta;Miles de euros constantes base 2020;0. Total;5.3. Tecnologías de la información (TI) y otros servicios de información;España;24532,41226;33953,15299;35835,15351;38126,16532;45922,25966;46438,70001;56360,96763;61635,40878;62471,56356;63076,2758;62413,65959;59754,56415;57909,29044;52804,92095;56170,9674;64663,94804;67905,25631;74817,21041;93195,0108;97752,68304;108342,3478;120706,6206;165794,3765;171713,5861;317057,3936;382115,3597;390131,828;489995,2966;649798,6072;759846,8388;983150,499;1164464,371;1402493,852;1628723,133;1650788,036;1579464,708;950670,3671;1117051,029;1239211,517;1332698,207;1412328,847;1232213,083;1188043,298;1641053,114;1574939,564;1531727,68;1839111,941;1739937,441;2791606,997;2214138,532;2301537,39;2925896,711;2645583,764;2657031,709;2352861,401;2752948,333;3964156,323;3220546,274;4140244,569;8362819,056;6830733,686;8109384,986
Inversión bruta;Miles de euros constantes base 2020;0. Total;6. Actividades financieras y de seguros;España;453357,7623;626492,5561;984820,9888;958795,4957;773829,6876;807620,2708;1349259,408;1466777,904;1551413,347;1732285,932;2202537,042;2611505,963;2120189,533;1866428,605;3384837,928;4418035,241;2535677,306;1838613,439;1799581,273;1605293,141;1540867,236;1598318,623;1349474,973;1972900,688;2295170,685;3666840,284;4531486,631;4382536,956;5031050,888;4316978,269;4841789,438;5082683,142;3468258,404;3884793,797;2923319,459;3461352,108;3368629,441;4399167,859;3135361,08;4312511,601;5366114,63;4407074,887;7002029,472;3733415,335;8296703,507;9022425,972;6673385,888;10047143,61;389920,7549;5047732,989;5067213,688;5048918,996;5282393,403;3993389,697;1423887,609;1005235,898;4945300;1868857,921;5695227,148;5023645,911;5362276,628;5546302,896
